Business Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
3 Hermanos Mexican Grill,67,226,55,192,283,219,200
386 Lounge,147,255,122,168,56,263,185
55 South,84,216,1,232,240,197,284
Academic Coffee,139,205,283,60,287,185,94
Aji Bar & Robata (Inside Signia),94,208,151,180,196,216,77
Alma Tequileria,275,273,73,73,69,287,123
Anchors,250,267,218,279,258,116,71
Ancora Vino by Enoteca La Storia,82,66,227,257,57,251,75
Angelou's Mexican Grill,175,299,182,1,156,141,202
Angkor Chef,193,141,113,114,135,101,129
BanMe Corporation,83,64,94,66,64,300,91
Bijan Bakery & Cafe,204,152,222,56,106,57,83
BJ's Restaurant and Brewhouse,218,269,102,76,89,198,211
Blaze Pizza #1210,290,65,99,167,56,89,164
Blue Mango Cuisine,92,121,83,260,184,184,251
Boba Bar Tea House and Eatery,132,174,242,217,279,97,254
Breaktime Cafe & Tea,116,139,154,63,205,194,122
Bun Me Up,50,149,100,292,249,212,121
Cafe One Catering & Cafe,175,100,293,298,283,209,219
Campus Burgers,210,96,173,152,59,152,115
Carl's Jr. / Green Burrito,81,286,214,272,97,208,127
Casa Guzmania,278,246,72,133,255,276,246
Chili's Grill & Bar - Downtown San Jose,149,60,297,69,166,184,90
"China Chen Restaurant, Inc.",121,261,54,293,165,292,75
Chipotle Mexican Grill,282,86,261,146,164,284,236
City Bagels,294,272,203,260,56,297,98
Coastal Manor Mediterranean Restaurant,73,220,263,136,185,265,79
Cobre and Clay Bar,273,94,291,72,212,58,150
Con Azúcar Cafe,94,216,210,86,183,184,223
CREAM,234,181,241,63,205,237,282
Crepas Fui Fui,197,178,126,218,160,170,262
Dac Phuc Restaurant,74,81,221,104,95,266,109
Desi Express,221,216,97,112,70,120,167
Devine Cheese and Wine,138,215,288,225,181,292,77
Ding Tea,134,56,101,75,75,162,114
District,88,91,150,102,251,182,91
Dr. Funk,180,138,266,237,209,108,269
Dr.ink,89,97,167,83,59,109,138
Egghead Sando Café,268,163,57,213,298,118,144
El Cabron Kitchen & Cantina,197,136,180,161,102,224,281
El Cafecito,83,56,196,150,157,195,287
El Pollo Loco,134,291,198,181,177,53,173
Elyse Restaurant,136,72,293,292,295,294,155
Era Lounge (Coming Soon),245,64,291,127,198,223,185
Erik's Deli Cafe,77,205,273,132,212,78,157
Firehouse No.1 Bar & Grill,90,263,289,262,134,61,233
Fountain Restaurant (Inside Signia),191,166,54,183,112,223,260
Fox Tale Fermentation Project,276,229,265,155,193,122,279
Freshly Baked Eatery,53,296,158,99,76,142,172
Fuji Sushi Restaurant,249,249,118,100,209,128,200
GameDay,74,84,158,143,220,189,173
Gong Cha,58,144,299,185,258,119,202
Good Karma Artisan Ales + Cafe,261,154,77,119,148,144,105
Goodtime Bar,168,54,155,246,268,275,99
Grace Deli & Cafe,124,79,118,86,108,202,114
Grub Shack at The Continental,92,233,143,114,280,149,108
Guildhouse,260,223,157,156,184,161,142
Gyu-Kaku Japanese BBQ,254,80,235,240,245,237,149
Habana Cuba Restaurant,192,90,71,154,109,101,61
Happy Lemon,161,70,277,263,179,95,145
Hedley Club,141,92,202,276,129,111,81
Hella Good Burger,184,201,276,276,84,157,152
Henry's World Famous Hi Life,113,235,143,57,284,162,90
Hinodeya,146,50,229,221,115,79,224
Hoagie Steak Out,99,251,78,266,132,178,100
Holy Cannoli,222,261,283,125,121,267,160
HoM Korean Kitchen,236,69,287,262,67,156,185
Home Eat,285,294,142,129,266,289,286
ID Cafe,56,142,69,284,275,263,146
Iguanas Taqueria,246,76,95,165,171,227,151
Ike's Love and Sandwiches,273,263,131,106,148,156,222
Indian Curry Carnival,53,280,236,130,288,83,267
ISCU,218,272,229,184,230,264,255
Jack In The Box,145,280,160,299,178,96,203
Jamba Juice,144,85,72,193,204,78,72
Jora Peruvian Food,294,88,239,264,98,167,286
K&J Sweets and Bakery,80,187,204,278,223,87,141
Kukar's House of Pizza,81,168,65,70,70,53,215
L & L Hawaiian Barbeque,205,263,133,200,109,152,279
La Lune Sucree,281,220,123,245,104,296,163
La Penita Restaurant,169,217,160,149,57,170,268
La Victoria Taqueria,66,250,141,128,236,131,126
Labyrinth Bar & Kitchen,259,72,248,284,246,266,114
Lee's Sandwiches,209,157,145,162,175,205,146
Little Wine House,197,73,228,110,269,262,271
Littlest Little Italy,98,128,180,84,104,186,150
Loft Bar & Bistro,184,214,281,202,189,235,227
Loteria Taco Bar,147,78,114,263,145,151,213
Mama Kin Libations & Revelry,219,261,163,228,264,90,258
Master Shin Korean Plate,221,234,233,112,70,186,200
Mezcal Restaurant,137,97,298,64,108,210,185
MiniBoss,290,121,97,262,255,244,293
Mochinut,76,234,236,193,189,97,284
Mommy's Banh Mi,283,89,274,217,67,53,235
Morton's The Steakhouse,53,274,87,243,51,244,117
Mosaic Restaurant,166,97,118,276,100,266,298
Mountain Mike's Pizza,222,291,114,77,58,216,263
My Milkshake,293,125,92,102,293,113,184
Nash + Tender,129,282,153,56,296,133,122
Natural Sweet,266,250,244,97,226,86,251
Nick The Greek,87,250,128,122,78,143,212
Nirvana Soul,82,57,166,175,108,198,181
Nomikai,141,57,78,127,112,228,295
NOVA,191,201,73,246,196,201,214
O'Flaherty's Irish Pub,216,158,261,185,101,165,182
Olla Cocina,58,107,164,170,286,208,113
On A Roll,196,94,80,108,256,143,140
Opa,202,86,94,201,166,238,85
Orchestria Palm Court,289,50,109,155,106,297,198
Original Joe's,263,134,55,182,73,177,253
Oumi Sushi,205,203,66,260,164,248,197
Paesano Ristorante Italiano,128,278,140,206,285,100,249
Panda Express,193,219,181,83,271,218,114
Panera Bread Restaurant,173,151,221,99,102,229,224
Paper Plane,118,95,248,106,127,105,140
Pasta Fresca Market,247,269,217,94,233,247,101
